feature,coef,original_feat,feature_v2,original_feat_v2,feat_type
Neighborhood_Mitchel,-0.0268804892732743,Neighborhood,Neighborhood_Mitchel,Neighborhood,nominal
Neighborhood_NAmes,-0.0101219339556403,Neighborhood,Neighborhood_NAmes,Neighborhood,nominal
Neighborhood_NWAmes,-0.0311884388984499,Neighborhood,Neighborhood_NWAmes,Neighborhood,nominal
Neighborhood_NoRidge,0.0578130374787005,Neighborhood,Neighborhood_NoRidge,Neighborhood,nominal
Neighborhood_NridgHt,0.0572336656488177,Neighborhood,Neighborhood_NridgHt,Neighborhood,nominal
Neighborhood_OldTown,-2.568747468485228e-06,Neighborhood,Neighborhood_OldTown,Neighborhood,nominal
Neighborhood_SWISU,0.0,Neighborhood,Neighborhood_SWISU,Neighborhood,nominal
Neighborhood_Sawyer,-0.0047860807566954,Neighborhood,Neighborhood_Sawyer,Neighborhood,nominal
Neighborhood_SawyerW,-0.0056252246601233,Neighborhood,Neighborhood_SawyerW,Neighborhood,nominal
Neighborhood_Somerst,0.0300268938744153,Neighborhood,Neighborhood_Somerst,Neighborhood,nominal
Neighborhood_StoneBr,0.0923016449313411,Neighborhood,Neighborhood_StoneBr,Neighborhood,nominal
Neighborhood_Timber,-0.0,Neighborhood,Neighborhood_Timber,Neighborhood,nominal
Neighborhood_other,0.0197774903893071,Neighborhood,Neighborhood_other,Neighborhood,nominal
Condition1_Artery,-0.0292509035214428,Condition1,Condition1_Artery,Condition1,nominal
Condition1_Feedr,-0.0090418975822016,Condition1,Condition1_Feedr,Condition1,nominal
Condition1_Norm,0.034731831212027,Condition1,Condition1_Norm,Condition1,nominal
Condition1_PosN,0.0126328383383511,Condition1,Condition1_PosN,Condition1,nominal
Condition1_RRAn,0.0002865519516375,Condition1,Condition1_RRAn,Condition1,nominal
Condition1_other,-0.0271285084015585,Condition1,Condition1_other,Condition1,nominal
Condition2_Norm,-0.0,Condition2,Condition2_Norm,Condition2,nominal
Condition2_other,0.0,Condition2,Condition2_other,Condition2,nominal
BldgType_1Fam,0.0044100801707335,BldgType,BldgType_1Fam,BldgType,nominal
BldgType_2fmCon,-0.0,BldgType,BldgType_2fmCon,BldgType,nominal
BldgType_Duplex,0.0,BldgType,BldgType_Duplex,BldgType,nominal
BldgType_Twnhs,-0.0048052230416022,BldgType,BldgType_Twnhs,BldgType,nominal
BldgType_TwnhsE,0.0,BldgType,BldgType_TwnhsE,BldgType,nominal
HouseStyle_1.5Fin,0.0,HouseStyle,HouseStyle_1.5Fin,HouseStyle,nominal
HouseStyle_1Story,-0.0,HouseStyle,HouseStyle_1Story,HouseStyle,nominal
HouseStyle_2Story,-0.0,HouseStyle,HouseStyle_2Story,HouseStyle,nominal
HouseStyle_SFoyer,-0.0,HouseStyle,HouseStyle_SFoyer,HouseStyle,nominal
HouseStyle_SLvl,0.0,HouseStyle,HouseStyle_SLvl,HouseStyle,nominal
HouseStyle_other,0.0120656512895722,HouseStyle,HouseStyle_other,HouseStyle,nominal
RoofStyle_Gable,-0.0,RoofStyle,RoofStyle_Gable,RoofStyle,nominal
RoofStyle_Hip,0.0155988444016734,RoofStyle,RoofStyle_Hip,RoofStyle,nominal
RoofStyle_other,-0.0,RoofStyle,RoofStyle_other,RoofStyle,nominal
RoofMatl_CompShg,-0.0385055096571025,RoofMatl,RoofMatl_CompShg,RoofMatl,nominal
RoofMatl_other,2.4432507177011988e-17,RoofMatl,RoofMatl_other,RoofMatl,nominal
Exterior1st_AsbShng,-0.0,Exterior1st,Exterior1st_AsbShng,Exterior1st,nominal
Exterior1st_BrkFace,0.066840924651903,Exterior1st,Exterior1st_BrkFace,Exterior1st,nominal
Exterior1st_CemntBd,0.0039827885994485,Exterior1st,Exterior1st_CemntBd,Exterior1st,nominal
Exterior1st_HdBoard,-0.0092125075024749,Exterior1st,Exterior1st_HdBoard,Exterior1st,nominal
Exterior1st_MetalSd,0.0127074297495875,Exterior1st,Exterior1st_MetalSd,Exterior1st,nominal
Exterior1st_Plywood,-0.010381556380853,Exterior1st,Exterior1st_Plywood,Exterior1st,nominal
Exterior1st_Stucco,0.0,Exterior1st,Exterior1st_Stucco,Exterior1st,nominal
Exterior1st_VinylSd,0.0,Exterior1st,Exterior1st_VinylSd,Exterior1st,nominal
Exterior1st_Wd Sdng,-0.0422599761874574,Exterior1st,Exterior1st_Wd Sdng,Exterior1st,nominal
Exterior1st_WdShing,0.0,Exterior1st,Exterior1st_WdShing,Exterior1st,nominal
Exterior1st_other,-0.0416094112491928,Exterior1st,Exterior1st_other,Exterior1st,nominal
Exterior2nd_AsbShng,-0.0187108429883578,Exterior2nd,Exterior2nd_AsbShng,Exterior2nd,nominal
Exterior2nd_BrkFace,-0.0297224601112884,Exterior2nd,Exterior2nd_BrkFace,Exterior2nd,nominal
Exterior2nd_CmentBd,0.0,Exterior2nd,Exterior2nd_CmentBd,Exterior2nd,nominal
Exterior2nd_HdBoard,-0.007301259316289,Exterior2nd,Exterior2nd_HdBoard,Exterior2nd,nominal
Exterior2nd_MetalSd,0.0,Exterior2nd,Exterior2nd_MetalSd,Exterior2nd,nominal
Exterior2nd_Plywood,-0.0088549602178063,Exterior2nd,Exterior2nd_Plywood,Exterior2nd,nominal
Exterior2nd_Stucco,0.0187021259303912,Exterior2nd,Exterior2nd_Stucco,Exterior2nd,nominal
Exterior2nd_VinylSd,0.0,Exterior2nd,Exterior2nd_VinylSd,Exterior2nd,nominal
Exterior2nd_Wd Sdng,0.0199630860502461,Exterior2nd,Exterior2nd_Wd Sdng,Exterior2nd,nominal
Exterior2nd_Wd Shng,0.0,Exterior2nd,Exterior2nd_Wd Shng,Exterior2nd,nominal
Exterior2nd_other,0.0,Exterior2nd,Exterior2nd_other,Exterior2nd,nominal
MasVnrType_BrkCmn,-0.015518629915457,MasVnrType,MasVnrType_BrkCmn,MasVnrType,nominal
MasVnrType_BrkFace,-0.0,MasVnrType,MasVnrType_BrkFace,MasVnrType,nominal
MasVnrType_None,0.0,MasVnrType,MasVnrType_None,MasVnrType,nominal
MasVnrType_Stone,0.0282437710772675,MasVnrType,MasVnrType_Stone,MasVnrType,nominal
